year_month,avg_demand_mwh,min_demand_mwh,n_hours,zone
2023-02,1108.619616992236,775.943571,644,NORTH
2023-03,989.043742994382,739.303443,712,NORTH
2023-04,971.9008821289855,748.225236,690,NORTH
2023-05,1099.9588217265077,789.173654,713,NORTH
2023-06,1344.9889111710145,865.648919,690,NORTH
2023-07,1491.081339981767,971.324564,713,NORTH
2023-08,1601.3654889621318,1056.488678,713,NORTH
2023-09,1335.0962856710144,912.870602,690,NORTH
2023-10,1111.3558219158485,848.949673,713,NORTH
2023-11,1082.8999900536232,804.902045,690,NORTH
2023-12,1185.2324382201962,917.097292,713,NORTH
2024-01,1466.9679726185134,1065.424259,713,NORTH
2024-02,1257.6135714362817,967.263561,667,NORTH
2024-03,1207.4903086376405,923.165939,712,NORTH
2024-04,1270.6814419782609,1000.462859,690,NORTH
2024-05,1408.3991352650771,921.872585,713,NORTH
2024-06,1688.1209517768116,1122.05689,690,NORTH
2024-07,1730.0854556647967,1113.000281,713,NORTH
2024-08,1843.638011109397,1321.474979,713,NORTH
2024-09,1602.9756488086955,1112.23675,690,NORTH
2024-10,1470.5416037068724,1164.448865,713,NORTH
2024-11,1387.5743796768115,1042.946936,690,NORTH
2024-12,1463.2017819537166,1083.843694,713,NORTH
2025-01,1711.6363780336608,1132.714337,713,NORTH
2025-02,1629.1309417065215,990.148928,644,NORTH
2025-03,1383.3085751264045,945.50089,712,NORTH
2025-04,1398.0392089710147,1075.870601,690,NORTH
2025-05,1522.3528687840114,918.197809,713,NORTH
2025-06,1856.1057504652172,1207.385399,690,NORTH
2025-07,2022.253441415147,1458.449779,713,NORTH
2025-08,2030.8294554880786,1145.31348,713,NORTH
2025-09,1864.5737003333334,1024.103459,690,NORTH
2025-10,1605.6058680252454,998.239877,713,NORTH
2025-11,1581.5824732768117,1016.807038,690,NORTH
2025-12,1694.070672291725,1108.687095,713,NORTH
2019-01,6266.259635814867,4158.457125,713,SCENT
2019-02,5957.7380755683225,4104.26676,644,SCENT
2019-03,5805.116577095506,4033.252628,712,SCENT
2019-04,5783.067279885508,3979.759856,690,SCENT
2019-05,6824.192380143058,4020.436938,713,SCENT
2019-06,7809.021564505797,4669.398698,690,SCENT
2019-07,8548.008170984573,5060.058243,713,SCENT
